Player,Consistency,Average,Median,Team,Position,Games Played,Value
Mike Gesicki,0.8547,3.4769,2.95,NWE,TE,13,2.644
Mike Strachan,,,,CAR,WR,4,
Mike White,,,0.0,MIA,QB,4,
Mike Williams,0.405,16.7333,0.0,LAC,WR,3,12.698725
Miles Boykin,2.3466,0.2385,0.0,PIT,WR,13,-0.157775
Miles Sanders,0.7226,6.375,5.05,CAR,RB,12,4.8506
Mitchell Tinsley,,,,WAS,WR,1,
Mitchell Trubisky,,,0.0,PIT,QB,4,
Mitchell Wilcox,1.4282,0.6923,0.0,CIN,TE,13,0.41217500000000007
Mo Alie-Cox,1.3967,2.2615,0.2,IND,TE,13,1.5969499999999999
Mohamed Ibrahim,,,,DET,RB,1,
Montrell Washington,,,0.0,KAN,WR,5,
MyCole Pruitt,1.5352,1.6077,0.0,ATL,TE,13,1.0719750000000001
Myles Gaskin,,0.0,0.0,2TM,RB,2,
N'Keal Harry,,,0.0,MIN,WR,9,
Najee Harris,0.4663,10.1462,8.75,PIT,RB,13,7.743075
Nate Adkins,,,0.0,DEN,TE,8,
Nathan Peterman,,,0.0,CHI,QB,1,
Nelson Agholor,0.8963,5.7231,4.55,BAL,WR,13,4.31825
Nick Bawden,2.2151,0.7462,0.0,NYJ,FB,13,0.25587499999999996
Nick Bellore,,,,SEA,FB,12,
Nick Chubb,0.4459,11.55,0.0,CLE,RB,2,8.801025000000001
Nick Mullens,,,,MIN,QB,1,
Nick Vannett,,,,LAC,TE,4,
Nick Westbrook-Ikhine,0.7344,6.2077,4.65,TEN,WR,13,4.722175
Nico Collins,0.66,16.3667,12.75,HOU,WR,12,12.360025000000002
Noah Brown,1.0214,10.1143,0.0,HOU,WR,7,7.580375
Noah Fant,0.694,4.4538,4.0,SEA,TE,13,3.41685
Noah Gray,0.6486,4.5154,4.3,KAN,TE,13,3.4743999999999997
Noah Togiai,,,,PHI,TE,1,
Odell Beckham Jr.,0.6343,8.8636,5.8,BAL,WR,11,6.7391250000000005
Olamide Zaccheaus,1.5687,2.6462,0.75,PHI,WR,13,1.8424749999999999
Owen Wright,,,,BAL,RB,1,
P.J. Walker,,,0.0,CLE,QB,6,
Parker Hesse,,0.0,0.0,ATL,TE,3,
Parker Washington,,,,JAX,WR,5,
Parris Campbell,1.0591,2.5333,1.0,NYG,WR,12,1.8852
Pat Freiermuth,0.813,7.5875,1.45,PIT,TE,8,5.737375000000001
Patrick Mahomes,0.3624,18.1385,17.1,KAN,QB,13,13.763275
Patrick Ricard,2.1487,0.6769,0.0,BAL,FB,13,0.22050000000000003
Patrick Taylor,0.6618,3.3571,0.05,GNB,RB,7,2.6023750000000003
Payne Durham,,,0.0,TAM,TE,9,
Peyton Hendershot,1.7321,0.325,0.0,DAL,TE,4,0.06072500000000003
Pharaoh Brown,1.7747,2.4154,0.0,NWE,TE,13,1.617875
Phillip Dorsett,,0.0,0.0,DEN,WR,1,
Pierre Strong,1.1822,2.3154,1.35,CLE,RB,13,1.6909999999999998
Princeton Fant,,,,DAL,TE,2,
Puka Nacua,0.5018,17.1077,16.35,LAR,WR,13,12.955325
Qadree Ollison,,,0.0,PIT,RB,2,
Quentin Johnston,0.8135,5.2692,3.0,LAC,WR,13,3.998525
Quez Watkins,1.1178,1.9833,0.0,PHI,WR,6,1.4580250000000001
Quintin Morris,2.5505,0.9636,0.0,BUF,TE,11,0.335075
Rachaad White,0.3956,15.7231,16.85,TAM,RB,13,11.943425
Raheem Blackshear,0.8962,1.8125,0.0,CAR,RB,8,1.385325
Raheem Mostert,0.6049,18.2615,13.75,MIA,RB,13,13.794900000000002
Rakim Jarrett,1.5556,1.0,0.0,TAM,WR,10,0.6111
Randall Cobb,1.4004,1.9375,0.0,NYJ,WR,8,1.353025
Rashaad Penny,0.5,1.6,0.0,PHI,RB,2,1.3250000000000002
Rashee Rice,0.4282,12.2308,11.05,KAN,WR,13,9.31605
Rashid Shaheed,0.6633,10.1545,6.15,NOR,WR,11,7.700050000000001
Rashod Bateman,0.3893,4.8167,4.45,BAL,WR,12,3.7651999999999997
Ray-Ray McCloud,1.0652,2.0545,0.0,SFO,WR,11,1.524575
Reggie Gilliam,3.4641,0.1,0.0,BUF,FB,13,-0.5410250000000001
Rhamondre Stevenson,0.5488,12.1417,10.2,NWE,RB,12,9.219075
Richie James,2.3502,0.64,0.0,KAN,WR,5,0.14244999999999997
Rico Dowdle,0.8049,5.7615,3.6,DAL,RB,13,4.3699
River Cracraft,1.2512,3.4714,0.0,MIA,WR,7,2.54075
Robbie Chosen,,,0.0,MIA,WR,5,
Robert Tonyan,1.3479,0.9846,0.0,CHI,TE,13,0.651475
Robert Woods,0.6339,6.3091,5.8,HOU,WR,11,4.82335
Rodney Williams,,,,PIT,TE,9,
Romeo Doubs,0.4841,11.1308,11.1,GNB,WR,13,8.477075000000001
Rondale Moore,0.717,6.3538,5.05,ARI,WR,13,4.8361
Ronnie Bell,,,0.0,SFO,WR,13,
Ronnie Rivers,1.421,1.9167,0.0,LAR,RB,6,1.3322749999999999
Roschon Johnson,0.7935,6.0818,2.75,CHI,RB,11,4.612975
Ross Dwelley,3.3166,0.1833,0.0,SFO,TE,12,-0.44167500000000004
Royce Freeman,1.1305,4.21,0.0,LAR,RB,10,3.124875
Russell Wilson,0.2609,16.6077,15.65,DEN,QB,13,12.640550000000001
Ryan Miller,,,,TAM,WR,1,
Ryan Tannehill,0.9729,7.3,0.0,TEN,QB,7,5.481775
SaRodorick Thompson,,,,SEA,RB,1,
Salvon Ahmed,0.8499,5.3625,0.55,MIA,RB,8,4.059399999999999
Sam Darnold,0.5774,-0.1,0.0,SFO,QB,6,0.030649999999999983
Sam Ehlinger,,,,IND,QB,1,
Sam Howell,0.3904,18.2231,18.0,WAS,QB,13,13.819724999999998
Sam LaPorta,0.5196,13.5846,10.4,DET,TE,13,10.30855
Samaje Perine,0.5233,7.5385,6.3,DEN,RB,13,5.7730500000000005
Samori Toure,0.8949,1.9333,0.0,GNB,WR,9,1.47625
Saquon Barkley,0.4695,16.56,11.55,NYG,RB,10,12.552624999999999
Scott Miller,1.4349,2.1538,0.0,ATL,WR,13,1.5066249999999999
Sean Clifford,,0.0,0.0,GNB,QB,1,
Sean McKeon,,,0.0,DAL,TE,9,
Sean Tucker,2.6607,0.4727,0.0,TAM,RB,11,-0.06064999999999998
Shedrick Jackson,,,,CIN,WR,2,
Simi Fehoko,,,0.0,LAC,WR,6,
Skyy Moore,0.9986,4.1308,2.5,KAN,WR,13,3.0984499999999997
Stanley Morgan Jr.,,,,CIN,WR,2,
Stefon Diggs,0.4557,18.0231,18.45,BUF,WR,13,13.6534
Stephen Anderson,,,,LAC,TE,2,
Stephen Carlson,,,,CHI,TE,1,
Stephen Sullivan,,,0.0,CAR,TE,7,
Sterling Shepard,1.5222,1.3545,0.0,NYG,WR,11,0.8853250000000001
Steven Sims,,,,HOU,WR,2,
Stone Smartt,2.3775,1.4167,0.0,LAC,TE,12,0.71815
T.J. Hockenson,0.4577,15.1462,12.65,MIN,TE,13,11.495225
Taiwan Jones,,0.0,0.0,NYG,RB,2,
Tank Bigsby,1.5694,1.4,0.55,JAX,RB,13,0.9076499999999998
Tank Dell,0.6697,15.0,7.35,HOU,WR,11,11.332575
Tanner Conner,,,0.0,MIA,TE,3,
Tanner Hudson,,,2.9,CIN,TE,8,
Taylor Heinicke,,,0.0,ATL,QB,3,
Taysom Hill,0.7296,9.8667,6.2,NOR,TE,12,7.467624999999999
Teagan Quitoriano,1.6281,0.7571,0.0,HOU,TE,7,0.4108
Teddy Bridgewater,,,0.0,DET,QB,1,
Tee Higgins,0.8807,9.7333,3.95,CIN,WR,9,7.3298
Terrace Marshall Jr.,1.2373,3.925,0.0,CAR,WR,8,2.884425
Terrell Bynum,,,,LAC,WR,1,
Terry McLaurin,0.4958,11.3385,9.7,WAS,WR,13,8.629925
Tim Boyle,,,,NYJ,QB,3,
Tim Jones,1.6677,0.8769,0.0,JAX,WR,13,0.49075
Tommy DeVito,,,0.0,NYG,QB,6,
Tommy Tremble,0.8558,3.3833,2.1,CAR,TE,12,2.573525
Tony Jones,1.1401,4.6,0.0,2TM,RB,7,3.4149749999999996
Tony Pollard,0.3948,14.3923,15.85,DAL,RB,13,10.945525
Travis Etienne,0.4783,17.4538,17.5,JAX,RB,13,13.220775000000001
Travis Homer,,0.0,0.0,CHI,RB,12,
Travis Kelce,0.4577,16.4667,13.45,KAN,TE,12,12.485599999999998
Trayveon Williams,0.8031,0.9769,0.65,CIN,RB,13,0.7818999999999999
Tre Tucker,1.1436,2.5333,0.45,LVR,WR,12,1.864075
Tre' McKitty,,,,LAC,TE,6,
Tre'Quan Smith,,,0.0,DEN,WR,1,
Trent Sherfield,1.2576,1.0923,0.0,BUF,WR,13,0.7548250000000001
Trent Taylor,3.4641,-0.0154,0.0,CHI,WR,13,-0.627575
Trenton Irwin,1.1996,4.0083,1.35,CIN,WR,12,2.956325
Trevon Wesco,3.4641,0.2385,0.0,TEN,TE,13,-0.43715000000000004
Trevor Lawrence,0.4156,17.1,16.1,JAX,QB,13,12.971100000000002
Trevor Siemian,,,,NYJ,QB,1,
Trey McBride,0.8024,9.9231,5.55,ARI,TE,13,7.491725000000001
Trey Palmer,0.488,5.1231,4.85,TAM,WR,13,3.970325
Trey Sermon,,,0.0,IND,RB,11,
Treylon Burks,1.0539,3.3143,0.0,TEN,WR,7,2.47225
Trishton Jackson,,,0.0,MIN,WR,6,
Tua Tagovailoa,0.3786,16.8769,15.45,MIA,QB,13,12.813025
Tucker Fisk,,,,ATL,TE,2,
Tucker Kraft,,,0.0,GNB,TE,13,
Tutu Atwell,0.6665,8.3154,7.15,LAR,WR,13,6.3199250000000005
Ty Chandler,1.1855,3.7154,2.15,MIN,RB,13,2.7401750000000002
Ty Johnson,,,0.0,BUF,RB,7,
Ty Montgomery,1.5712,0.7615,0.0,NWE,WR,13,0.428325
Tyjae Spears,0.5595,8.3769,6.95,TEN,RB,13,6.392799999999999
Tylan Wallace,2.4495,0.8571,0.0,BAL,WR,7,0.28045
Tyler Allgeier,0.8233,7.1923,4.85,ATL,RB,13,5.438400000000001
Tyler Boyd,0.5162,9.2538,7.9,CIN,WR,13,7.0613
Tyler Conklin,0.5454,7.4308,6.9,NYJ,TE,13,5.68675
Tyler Goodson,,,,IND,RB,2,
Tyler Higbee,0.7765,6.8917,4.1,LAR,TE,12,5.2246500000000005
Tyler Huntley,,,0.0,BAL,QB,3,
Tyler Kroft,,0.0,0.0,MIA,TE,7,
Tyler Lockett,0.5604,12.4692,9.55,SEA,WR,13,9.4618
Tyler Scott,1.0463,1.7385,1.75,CHI,WR,13,1.2923
Tyquan Thornton,,,0.0,NWE,WR,6,
Tyree Jackson,,,,NYG,TE,2,
Tyreek Hill,0.396,24.8231,25.6,MIA,WR,13,18.768325
Tyrion Davis-Price,,,0.0,SFO,RB,1,
Tyrod Taylor,1.2452,5.8571,0.0,NYG,QB,7,4.331525
Tyson Bagent,,,0.0,CHI,QB,5,
Van Jefferson,1.0075,2.3692,1.7,2TM,WR,13,1.775025
Velus Jones Jr.,1.2636,0.82,0.0,CHI,WR,10,0.5490999999999999
Wan'Dale Robinson,,,6.35,NYG,WR,11,
Will Dissly,1.1056,1.8417,0.65,SEA,TE,12,1.354875
Will Levis,,,3.0,TEN,QB,7,
Will Mallory,0.9519,3.3875,0.0,IND,TE,8,2.5526500000000003
Willie Snead,,,0.0,SFO,WR,3,
Xavier Gipson,,,1.05,NYJ,WR,13,
Xavier Hutchinson,1.2197,1.1833,0.0,HOU,WR,12,0.83255
Zach Charbonnet,0.6058,7.2333,5.25,SEA,RB,12,5.523525
Zach Ertz,0.4445,7.3857,1.3,ARI,TE,7,5.67815
Zach Evans,,,0.0,LAR,RB,8,
Zach Pascal,2.1525,0.59,0.0,ARI,WR,10,0.15437500000000004
Zach Wilson,0.4052,10.9909,8.3,NYJ,QB,11,8.391875
Zack Moss,0.7002,12.8583,9.0,IND,RB,12,9.718675
Zamir White,1.6103,1.0154,0.1,LVR,RB,13,0.608975
Zay Flowers,0.4444,12.5308,11.9,BAL,WR,13,9.536999999999999
Zay Jones,0.6788,8.0714,0.0,JAX,WR,7,6.133850000000001
Zonovan Knight,,,0.0,DET,RB,2,
